"ID","NATC","NATC_ID","Type"
849,"Never",1,"Clump"
850,"Never",1,"Clump"
851,"Never",1,"Clump"
846,"Never",1,"Clump"
852,"Abandoned",2,"No cluster"
846,"Never",1,"Clump"
853,"Never",1,"Clump"
854,"Never",1,"Clump"
855,"Never",1,"Clump"
856,"Abandoned",2,"No cluster"
857,"Transformed",3,"No cluster"
858,"Never",1,"Clump"
859,"Never",1,"Cluster"
860,"Never",1,"Clump"
861,"Continuous",4,"No cluster"
862,"Never",1,"Clump"
863,"Abandoned",2,"Outlier"
846,"Never",1,"Clump"
864,"Abandoned",2,"No cluster"
865,"Abandoned",2,"No cluster"
846,"Never",1,"Clump"
866,"Continuous",4,"Clump"
867,"Abandoned",2,"No cluster"
868,"Never",1,"Clump"
869,"Abandoned",2,"No cluster"
870,"Never",1,"Clump"
846,"Never",1,"No cluster"
871,"Never",1,"No cluster"
872,"Abandoned",2,"No cluster"
873,"Abandoned",2,"No cluster"
874,"Abandoned",2,"No cluster"
875,"Abandoned",2,"No cluster"
876,"Continuous",4,"Cluster"
877,"Continuous",4,"Clump"
878,"Never",1,"Clump"
879,"Never",1,"Clump"
880,"Never",1,"Cluster"
881,"Never",1,"Clump"
882,"Never",1,"Clump"
883,"Never",1,"Clump"
884,"Never",1,"Clump"
885,"Continuous",4,"Clump"
886,"Continuous",4,"Clump"
887,"Continuous",4,"Cluster"
888,"Continuous",4,"Clump"
889,"Never",1,"Clump"
890,"Continuous",4,"Clump"
891,"Continuous",4,"Clump"
892,"Continuous",4,"Clump"
893,"Transformed",3,"No cluster"
894,"Never",1,"Clump"
895,"Transformed",3,"No cluster"
896,"Never",1,"Clump"
897,"Transformed",3,"No cluster"
898,"Never",1,"Clump"
899,"Never",1,"Clump"
900,"Never",1,"Clump"
901,"Never",1,"Clump"
902,"Continuous",4,"Clump"
903,"Continuous",4,"Cluster"
904,"Continuous",4,"Clump"
905,"Never",1,"Clump"
